per_gop,per_dem,per_third_party,County_with_State,Date,Series_Complete_Pop_Pct,Metro_status,PCTPOVALL_2021,MEDHHINC_2021,WA,BA,IA,AAPI,MEDIAN_AGE_TOT,through_hs,college_up,target
76.9,21.6,1.5,"Logan County, OH",05/10/2023,44.2,0,10,65499,94.2,2.0,0.4,1.0,42.2,51.79,48.21,0
50.5,48.1,1.4,"Lorain County, OH",05/10/2023,66.3,1,12,63348,85.7,9.0,0.4,1.6,42.1,40.29,59.71,0
40.8,57.5,1.7,"Lucas County, OH",05/10/2023,60.1,1,17,53379,73.4,20.6,0.4,1.9,38.3,39.61,60.39,0
69.7,28.7,1.6,"Madison County, OH",05/10/2023,54.7,1,13,71958,90.0,6.1,0.4,1.6,41.0,52.21,47.79,0
50.4,48.5,1.2,"Mahoning County, OH",05/10/2023,59.2,1,19,50216,80.2,15.7,0.3,1.0,43.2,46.09,53.91,0
68.4,29.7,1.9,"Marion County, OH",05/10/2023,50.7,0,15,53172,89.9,6.6,0.3,0.7,40.7,54.37,45.63,0
61.0,37.6,1.3,"Medina County, OH",05/10/2023,66.3,1,6,86880,95.1,1.7,0.2,1.5,43.2,35.27,64.73,0
75.9,22.8,1.3,"Meigs County, OH",05/10/2023,48.9,0,21,45935,97.0,1.0,0.3,0.4,44.5,60.64,39.36,0
81.9,17.0,1.2,"Mercer County, OH",05/10/2023,39.2,0,7,67958,96.1,0.6,0.3,1.6,39.1,50.89,49.11,0
71.4,27.0,1.6,"Miami County, OH",05/10/2023,49.2,1,8,65537,92.7,2.8,0.2,1.9,41.2,44.59,55.41,0
76.4,22.5,1.1,"Monroe County, OH",05/10/2023,49.7,0,14,53036,97.0,0.9,0.2,0.3,46.1,60.14,39.86,0
48.1,50.3,1.6,"Montgomery County, OH",05/10/2023,58.6,1,15,56636,72.1,21.8,0.3,2.5,38.9,36.79,63.21,0
73.6,25.2,1.2,"Morgan County, OH",05/10/2023,44.2,0,16,46327,92.4,3.0,0.4,0.2,44.6,60.43,39.57,0
76.3,21.9,1.8,"Morrow County, OH",05/10/2023,43.2,1,11,62516,96.6,1.0,0.3,0.5,43.2,56.58,43.42,0
68.9,29.6,1.5,"Muskingum County, OH",05/10/2023,49.7,0,15,52806,91.9,3.9,0.3,0.6,40.3,52.92,47.08,0
81.0,18.4,0.6,"Noble County, OH",05/10/2023,48.2,0,16,50109,94.8,3.2,0.4,0.3,53.7,66.88,33.12,0
60.9,37.5,1.5,"Ottawa County, OH",05/10/2023,63.5,0,8,71409,96.5,1.1,0.3,0.4,50.5,43.17,56.83,0
74.8,23.4,1.8,"Paulding County, OH",05/10/2023,43.6,0,10,60274,96.2,1.3,0.5,0.4,41.5,55.22,44.78,0
74.1,24.6,1.3,"Perry County, OH",05/10/2023,42.4,1,13,63329,96.8,0.7,0.4,0.4,41.2,59.04,40.96,0
72.8,25.8,1.3,"Pickaway County, OH",05/10/2023,52.7,1,10,72652,93.4,3.7,0.3,0.7,39.6,53.78,46.22,0
73.8,25.1,1.2,"Pike County, OH",05/10/2023,46.5,0,19,49357,95.2,1.3,0.8,0.4,41.1,61.37,38.63,0
55.5,43.0,1.5,"Portage County, OH",05/10/2023,59.3,1,12,65445,89.7,5.3,0.2,2.3,39.4,44.4,55.6,0
78.1,20.6,1.3,"Preble County, OH",05/10/2023,44.4,0,11,56134,96.5,0.9,0.4,0.7,42.9,53.13,46.87,0
82.4,16.0,1.6,"Putnam County, OH",05/10/2023,50.2,0,7,72588,97.6,0.8,0.4,0.3,40.2,45.07,54.93,0
69.1,29.4,1.4,"Richland County, OH",05/10/2023,46.3,1,13,51733,86.5,9.7,0.2,0.9,40.6,52.14,47.86,0
66.9,31.7,1.4,"Ross County, OH",05/10/2023,52.5,0,18,53068,90.5,5.7,0.4,0.6,41.6,55.32,44.68,0
62.8,35.2,1.9,"Sandusky County, OH",05/10/2023,54.0,0,13,54399,92.6,3.6,0.4,0.6,42.2,49.66,50.34,0
70.5,28.3,1.1,"Scioto County, OH",05/10/2023,52.3,0,23,43981,94.0,2.8,0.6,0.5,40.7,57.1,42.9,0
66.2,32.0,1.8,"Seneca County, OH",05/10/2023,50.6,0,12,59292,93.4,2.7,0.3,0.8,40.2,51.49,48.51,0
80.9,17.7,1.5,"Shelby County, OH",05/10/2023,37.1,0,10,63848,93.6,2.4,0.2,1.3,39.9,51.46,48.54,0
58.5,40.0,1.5,"Stark County, OH",05/10/2023,56.7,1,12,59205,87.4,8.1,0.3,1.1,41.7,45.88,54.12,0
44.5,54.1,1.4,"Summit County, OH",05/10/2023,66.3,1,12,63191,77.1,15.3,0.2,4.5,41.3,36.87,63.13,0
54.6,44.1,1.3,"Trumbull County, OH",05/10/2023,56.9,1,15,51838,87.8,8.9,0.3,0.6,43.7,54.93,45.07,0
69.2,29.3,1.5,"Tuscarawas County, OH",05/10/2023,46.1,0,12,58282,96.2,1.0,0.6,0.7,41.4,57.49,42.51,0
64.8,33.3,1.9,"Union County, OH",05/10/2023,66.2,1,5,98167,89.0,2.8,0.2,6.0,38.4,36.36,63.64,0
77.8,20.5,1.7,"Van Wert County, OH",05/10/2023,44.9,0,8,61842,96.3,1.2,0.4,0.4,41.2,51.83,48.17,0
76.8,22.1,1.1,"Vinton County, OH",05/10/2023,40.2,0,19,46511,97.0,0.6,0.5,0.4,43.6,62.95,37.05,0
64.6,33.8,1.5,"Warren County, OH",05/10/2023,67.3,1,5,97011,86.4,3.8,0.2,7.5,39.9,31.22,68.78,0
69.6,28.9,1.5,"Washington County, OH",05/10/2023,57.8,0,13,55133,95.7,1.4,0.3,0.8,44.0,47.32,52.68,0
67.7,30.7,1.6,"Wayne County, OH",05/10/2023,47.1,0,9,60709,95.1,1.7,0.2,1.2,38.8,52.45,47.55,0
72.1,26.0,1.9,"Williams County, OH",05/10/2023,46.0,0,9,57131,96.2,1.5,0.3,0.6,41.8,51.22,48.78,0
52.9,45.3,1.8,"Wood County, OH",05/10/2023,63.0,1,10,64702,92.5,2.9,0.3,2.1,35.8,34.32,65.68,0
74.3,24.0,1.7,"Wyandot County, OH",05/10/2023,48.9,0,7,65757,97.1,0.5,0.3,0.8,42.7,53.14,46.86,0
78.6,19.5,1.9,"Adair County, OK",05/10/2023,38.6,0,20,43371,41.5,0.8,45.4,1.2,37.8,65.85,34.15,0
87.4,10.3,2.3,"Alfalfa County, OK",05/10/2023,47.0,0,16,55157,85.4,5.8,4.5,0.7,43.0,49.56,50.44,0
84.6,14.2,1.2,"Atoka County, OK",05/10/2023,38.0,0,17,44489,70.3,5.5,15.3,0.9,39.8,57.98,42.02,0
